Date,DayOfWeek,Month,SemesterWeek,Weekend,Meal,Menu,Attendance,Capacity,ExamWeek,MidSem,EndSem,Festival,HolidayTomorrow,HolidayAfter2Days,HolidayNear,Rain,ExpectedAttendance,PreparedFood_kg,Waste_kg
2026-01-05,Monday,1,1,0,Dinner,Dal Fry & Jeera Rice,748,980,0,0,0,0,0,0,0,0,738,810.8,74.52
2026-01-06,Tuesday,1,1,0,Breakfast,Poha,698,980,0,0,0,0,0,0,0,0,654,591.28,42.81
2026-01-06,Tuesday,1,1,0,Lunch,Rajma Chawal,923,980,0,0,0,0,0,0,0,0,882,1138.04,12.41
2026-01-06,Tuesday,1,1,0,Dinner,Bhindi Masala & Roti,761,980,0,0,0,0,0,0,0,0,665,726.66,14.73
2026-01-07,Wednesday,1,1,0,Breakfast,Aloo Paratha,758,980,0,0,0,0,0,0,0,1,773,662.76,67.95
2026-01-07,Wednesday,1,1,0,Lunch,Lauki Ki Sabji,768,980,0,0,0,0,0,0,0,1,838,1151.44,319.68
2026-01-07,Wednesday,1,1,0,Dinner,Matar Paneer & Roti,899,980,0,0,0,0,0,0,0,1,903,1064.41,172.94
2026-01-08,Thursday,1,2,0,Breakfast,Bread Butter Jam,588,980,0,0,0,0,0,0,0,0,581,524.14,74.91
2026-01-08,Thursday,1,2,0,Lunch,Kadhai Paneer & Roti,971,980,0,0,0,0,0,0,0,0,980,1330.31,133.32
2026-01-08,Thursday,1,2,0,Dinner,Rajma Masala Dinner,847,980,0,0,0,0,0,0,0,0,850,1005.04,170.06
2026-01-09,Friday,1,2,0,Breakfast,Masala Khichdi,668,980,0,0,0,0,0,0,0,0,721,682.45,206.28
2026-01-09,Friday,1,2,0,Lunch,Chole Bhature,980,980,0,0,0,0,0,0,0,0,973,1304.52,65.7
2026-01-09,Friday,1,2,0,Dinner,Chole Kulche,673,980,0,0,0,0,0,0,0,0,672,742.54,49.9
2026-01-10,Saturday,1,2,1,Breakfast,Cornflakes & Milk,685,980,0,0,0,0,0,0,0,0,712,681.72,133.74
2026-01-10,Saturday,1,2,1,Lunch,Veg Khichdi,744,980,0,0,0,0,0,0,0,0,702,966.04,158.71
2026-01-10,Saturday,1,2,1,Dinner,Dal Khichdi Dinner,678,980,0,0,0,0,0,0,0,0,677,739.24,119.95
2026-01-11,Sunday,1,2,1,Breakfast,Idli Vada Combo,435,980,0,0,0,0,0,0,0,0,438,371.88,27.47
2026-01-11,Sunday,1,2,1,Lunch,Vegetable Biryani,812,980,0,0,0,0,0,0,0,0,867,1237.56,271.38
2026-01-11,Sunday,1,2,1,Dinner,Chicken Biryani / Veg Biryani,861,980,0,0,0,0,0,0,0,0,823,900.6,45.21
2026-01-12,Monday,1,2,0,Breakfast,Masala Dosa,714,980,0,0,0,0,0,0,0,0,677,569.1,16.95
2026-01-12,Monday,1,2,0,Lunch,Dal Tadka & Rice,738,980,0,0,0,0,0,0,0,0,732,1039.14,169.22
2026-01-12,Monday,1,2,0,Dinner,Dal Fry & Jeera Rice,810,980,0,0,0,0,0,0,0,0,764,914.72,115.17
2026-01-13,Tuesday,1,2,0,Breakfast,Poha,597,980,0,0,0,0,0,0,0,0,618,580.51,130.01
2026-01-13,Tuesday,1,2,0,Lunch,Rajma Chawal,883,980,0,0,0,0,0,0,0,0,845,1084.89,19.22
2026-01-13,Tuesday,1,2,0,Dinner,Lauki Ki Bhurji,518,980,0,0,0,0,0,0,0,0,418,485.55,65.07
2026-01-14,Wednesday,1,2,0,Breakfast,Aloo Paratha,711,980,0,0,0,0,0,0,0,0,695,599.05,16.62
2026-01-14,Wednesday,1,2,0,Lunch,Lauki Ki Sabji,671,980,0,0,0,0,0,0,0,0,767,1067.21,382.11
2026-01-14,Wednesday,1,2,0,Dinner,Yellow Dal & Steamed Rice,709,980,0,0,0,0,0,0,0,0,695,831.86,131.82
2026-01-15,Thursday,1,3,0,Breakfast,Vermicelli Upma,737,980,0,0,0,0,0,0,0,0,632,580.16,11.76
2026-01-15,Thursday,1,3,0,Lunch,Tinda Tomato Curry,694,980,0,0,0,0,0,0,0,0,714,920.58,230.92
2026-01-15,Thursday,1,3,0,Dinner,Rajma Masala Dinner,774,980,0,0,0,0,0,0,0,0,780,886.33,106.16
2026-01-16,Friday,1,3,0,Breakfast,Masala Khichdi,626,980,0,0,0,0,0,0,0,0,640,543.07,110.19
2026-01-16,Friday,1,3,0,Lunch,Chole Bhature,778,980,0,0,0,0,0,0,0,0,820,1050.64,108.51
2026-01-16,Friday,1,3,0,Dinner,Chole Kulche,860,980,0,0,0,0,0,0,0,0,819,952.16,66.86
2026-01-17,Saturday,1,3,1,Breakfast,Cornflakes & Milk,598,980,0,0,0,0,0,0,0,0,656,624.31,158.73
2026-01-17,Saturday,1,3,1,Lunch,Veg Khichdi,775,980,0,0,0,0,0,0,0,0,840,1106.79,248.22
2026-01-17,Saturday,1,3,1,Dinner,Dal Khichdi Dinner,565,980,0,0,0,0,0,0,0,0,558,665.47,159.64
2026-01-18,Sunday,1,3,1,Breakfast,Idli Vada Combo,496,980,0,0,0,0,0,0,0,0,527,448.45,63.12
2026-01-18,Sunday,1,3,1,Lunch,Rajma Chawal,936,980,0,0,0,0,0,0,0,0,956,1371.25,225.31
2026-01-18,Sunday,1,3,1,Dinner,Chicken Biryani / Veg Biryani,841,980,0,0,0,0,0,0,0,0,816,965.97,120.24
2026-01-19,Monday,1,3,0,Breakfast,Masala Dosa,748,980,0,0,0,0,0,0,0,0,739,673.25,77.73
2026-01-19,Monday,1,3,0,Lunch,Dal Tadka & Rice,910,980,0,0,0,0,0,0,0,0,870,1164.24,75.52
2026-01-19,Monday,1,3,0,Dinner,Dal Fry & Jeera Rice,797,980,0,0,0,0,0,0,0,0,821,956.53,180.08
2026-01-20,Tuesday,1,3,0,Breakfast,Poha,681,980,0,0,0,0,0,0,0,0,639,577.28,47.03
2026-01-20,Tuesday,1,3,0,Lunch,Rajma Chawal,963,980,0,0,0,0,0,0,0,0,980,1291.72,157.05
2026-01-20,Tuesday,1,3,0,Dinner,Yellow Dal & Steamed Rice,788,980,0,0,0,0,0,0,0,0,766,876.41,122.01
2026-01-21,Wednesday,1,3,0,Breakfast,Aloo Paratha,645,980,0,0,0,0,0,0,0,0,694,634.6,124.87
2026-01-21,Wednesday,1,3,0,Lunch,Lauki Ki Sabji,672,980,0,0,0,0,0,0,0,0,576,810.13,88.1
2026-01-21,Wednesday,1,3,0,Dinner,Paneer Tikka Masala,980,980,0,0,0,0,0,0,0,0,980,1090.48,79.04
2026-01-22,Thursday,1,4,0,Breakfast,Bread Butter Jam,612,980,0,0,0,0,0,0,0,0,526,503.06,42.0
2026-01-22,Thursday,1,4,0,Lunch,Kadhai Paneer & Roti,970,980,0,0,0,0,0,0,0,0,925,1211.02,61.33
2026-01-22,Thursday,1,4,0,Dinner,Rajma Masala Dinner,957,980,0,0,0,0,0,0,0,0,980,1167.88,188.35
2026-01-23,Friday,1,4,0,Breakfast,Masala Khichdi,536,980,0,0,0,0,0,0,0,0,562,487.5,93.88
2026-01-23,Friday,1,4,0,Lunch,Paneer Butter Masala,974,980,0,0,0,0,0,0,0,0,948,1333.79,132.35
2026-01-23,Friday,1,4,0,Dinner,Plain Khichdi & Papad,622,980,0,0,0,0,0,0,0,0,666,720.58,181.09
2026-01-24,Saturday,1,4,1,Breakfast,Cornflakes & Milk,575,980,0,0,0,0,0,1,1,0,650,576.93,132.67
2026-01-24,Saturday,1,4,1,Lunch,Veg Khichdi,714,980,0,0,0,0,0,1,1,0,754,985.09,232.41
2026-01-24,Saturday,1,4,1,Dinner,Dal Khichdi Dinner,628,980,0,0,0,0,0,1,1,0,622,665.12,137.53
2026-01-25,Sunday,1,4,1,Breakfast,Puri Sabji,252,980,0,0,0,0,1,0,1,0,240,216.44,6.37
2026-01-25,Sunday,1,4,1,Lunch,Vegetable Biryani,653,980,0,0,0,0,1,0,1,0,641,870.97,80.66
2026-01-25,Sunday,1,4,1,Dinner,Chicken Biryani / Veg Biryani,744,980,0,0,0,0,1,0,1,0,703,772.06,59.27
2026-01-26,Monday,1,4,0,Breakfast,Masala Dosa,638,980,0,0,0,0,0,0,1,0,647,620.05,103.2
2026-01-26,Monday,1,4,0,Lunch,Dal Tadka & Rice,725,980,0,0,0,0,0,0,1,0,805,1118.7,267.7
2026-01-26,Monday,1,4,0,Dinner,Dal Fry & Jeera Rice,757,980,0,0,0,0,0,0,1,0,699,744.95,5.0
2026-01-27,Tuesday,1,4,0,Breakfast,Poha,667,980,0,0,0,0,0,0,0,0,677,596.54,56.17
2026-01-27,Tuesday,1,4,0,Lunch,Rajma Chawal,891,980,0,0,0,0,0,0,0,0,969,1318.22,238.22
2026-01-27,Tuesday,1,4,0,Dinner,Lauki Ki Bhurji,624,980,0,0,0,0,0,0,0,0,610,696.09,144.65
2026-01-28,Wednesday,1,4,0,Breakfast,Paneer Paratha,779,980,0,0,0,0,0,0,0,0,838,712.76,79.04
2026-01-28,Wednesday,1,4,0,Lunch,Chole Masala & Rice,751,980,0,0,0,0,0,0,0,0,785,1127.91,240.56
2026-01-28,Wednesday,1,4,0,Dinner,Paneer Tikka Masala,964,980,0,0,0,0,0,0,0,0,928,1067.48,68.36
2026-01-29,Thursday,1,5,0,Breakfast,Bread Butter Jam,630,980,0,0,0,0,0,0,0,0,659,579.16,92.96
2026-01-29,Thursday,1,5,0,Lunch,Kadhai Paneer & Roti,823,980,0,0,0,0,0,0,0,0,747,1019.37,47.12
2026-01-29,Thursday,1,5,0,Dinner,Rajma Masala Dinner,857,980,0,0,0,0,0,0,0,0,837,895.73,44.99
2026-01-30,Friday,1,5,0,Breakfast,Masala Khichdi,640,980,0,0,0,0,0,0,0,0,516,455.04,7.03
2026-01-30,Friday,1,5,0,Lunch,Chole Bhature,980,980,0,0,0,0,0,0,0,0,950,1357.46,186.67
2026-01-30,Friday,1,5,0,Dinner,Chole Kulche,858,980,0,0,0,0,0,0,0,0,875,945.21,91.07
2026-01-31,Saturday,1,5,1,Breakfast,Cornflakes & Milk,624,980,0,0,0,0,0,0,0,0,642,606.86,134.67
2026-01-31,Saturday,1,5,1,Lunch,Veg Khichdi,671,980,0,0,0,0,0,0,0,0,577,804.67,91.26
2026-01-31,Saturday,1,5,1,Dinner,Dal Khichdi Dinner,749,980,0,0,0,0,0,0,0,0,638,756.65,73.46
2026-02-01,Sunday,2,5,1,Breakfast,Idli Vada Combo,486,980,0,0,0,0,0,0,0,0,495,424.81,47.43
2026-02-01,Sunday,2,5,1,Lunch,Vegetable Biryani,902,980,0,0,0,0,0,0,0,0,878,1226.78,122.3
2026-02-01,Sunday,2,5,1,Dinner,Paneer Kofta,835,980,0,0,0,0,0,0,0,0,838,947.76,132.51
2026-02-02,Monday,2,5,0,Breakfast,Masala Dosa,657,980,0,0,0,0,0,0,0,0,757,700.94,162.82
2026-02-02,Monday,2,5,0,Lunch,Dal Tadka & Rice,778,980,0,0,0,0,0,0,0,0,816,1048.59,132.12
2026-02-02,Monday,2,5,0,Dinner,Paneer Tikka Masala,845,980,0,0,0,0,0,0,0,0,875,1039.83,182.45
2026-02-03,Tuesday,2,5,0,Breakfast,Poha,710,980,0,0,0,0,0,0,0,0,661,633.36,79.1
2026-02-03,Tuesday,2,5,0,Lunch,Rajma Chawal,880,980,0,0,0,0,0,0,0,0,906,1206.63,173.45
2026-02-03,Tuesday,2,5,0,Dinner,Chole Kulche,747,980,0,0,0,0,0,0,0,0,800,950.76,198.89
2026-02-04,Wednesday,2,5,0,Breakfast,Aloo Paratha,762,980,0,0,0,0,0,0,0,0,686,589.87,25.39
2026-02-04,Wednesday,2,5,0,Lunch,Lauki Ki Sabji,614,980,0,0,0,0,0,0,0,0,618,887.2,227.25
2026-02-04,Wednesday,2,5,0,Dinner,Paneer Tikka Masala,948,980,0,0,0,0,0,0,0,0,955,1045.67,84.35
2026-02-05,Thursday,2,6,0,Breakfast,Bread Butter Jam,642,980,0,0,0,0,0,0,0,0,570,536.02,52.07
2026-02-05,Thursday,2,6,0,Lunch,Kadhai Paneer & Roti,917,980,0,0,0,0,0,0,0,0,980,1329.08,233.13
2026-02-05,Thursday,2,6,0,Dinner,Chole Kulche,905,980,0,0,0,0,0,0,0,0,898,979.37,65.51
2026-02-06,Friday,2,6,0,Breakfast,Oats Porridge,702,980,0,0,0,0,0,0,0,0,593,516.19,68.53
2026-02-06,Friday,2,6,0,Lunch,Chole Bhature,900,980,0,0,0,0,0,0,0,0,907,1260.5,161.8
2026-02-06,Friday,2,6,0,Dinner,Chole Kulche,780,980,0,0,0,0,0,0,0,0,735,781.33,21.89
2026-02-07,Saturday,2,6,1,Breakfast,Cornflakes & Milk,673,980,0,0,0,0,0,0,0,0,699,639.56,118.78
2026-02-07,Saturday,2,6,1,Lunch,Veg Khichdi,760,980,0,0,0,0,0,0,0,0,755,1064.19,266.24
2026-02-07,Saturday,2,6,1,Dinner,Dal Khichdi Dinner,624,980,0,0,0,0,0,0,0,0,632,757.01,202.46
2026-02-08,Sunday,2,6,1,Breakfast,Idli Vada Combo,421,980,0,0,0,0,0,0,0,0,502,434.81,91.7
2026-02-08,Sunday,2,6,1,Lunch,Vegetable Biryani,886,980,0,0,0,0,0,0,0,0,934,1265.89,179.76
2026-02-08,Sunday,2,6,1,Dinner,Chicken Biryani / Veg Biryani,768,980,0,0,0,0,0,0,0,0,639,739.98,10.76
2026-02-09,Monday,2,6,0,Breakfast,Masala Dosa,664,980,0,0,0,0,0,0,0,0,659,598.9,83.42
2026-02-09,Monday,2,6,0,Lunch,Dal Tadka & Rice,849,980,0,0,0,0,0,0,0,0,800,1146.04,139.99
2026-02-09,Monday,2,6,0,Dinner,Dal Fry & Jeera Rice,852,980,0,0,0,0,0,0,0,0,879,975.25,139.58
2026-02-10,Tuesday,2,6,0,Breakfast,Masala Dosa,656,980,0,0,0,0,0,0,0,0,663,623.87,87.06
2026-02-10,Tuesday,2,6,0,Lunch,Rajma Chawal,920,980,0,0,0,0,0,0,0,0,980,1340.34,218.92
2026-02-10,Tuesday,2,6,0,Dinner,Plain Khichdi & Papad,741,980,0,0,0,0,0,0,0,0,787,896.03,241.24
2026-02-11,Wednesday,2,6,0,Breakfast,Aloo Paratha,777,980,0,0,0,0,0,0,0,0,805,743.07,120.88
2026-02-11,Wednesday,2,6,0,Lunch,Lauki Ki Sabji,690,980,0,0,0,0,0,0,0,0,700,904.75,158.11
2026-02-11,Wednesday,2,6,0,Dinner,Paneer Tikka Masala,980,980,0,0,0,0,0,0,0,0,978,1153.36,153.79
2026-02-12,Thursday,2,7,0,Breakfast,Bread Butter Jam,567,980,0,0,0,0,0,0,0,0,592,505.85,69.47
2026-02-12,Thursday,2,7,0,Lunch,Kadhai Paneer & Roti,980,980,0,0,0,0,0,0,0,0,971,1317.75,105.86
2026-02-12,Thursday,2,7,0,Dinner,Rajma Masala Dinner,884,980,0,0,0,0,0,0,0,0,928,1006.83,137.57
2026-02-13,Friday,2,7,0,Breakfast,Masala Khichdi,725,980,0,0,0,0,0,0,0,0,786,698.15,185.48
2026-02-13,Friday,2,7,0,Lunch,Chole Bhature,923,980,0,0,0,0,0,0,0,0,835,1162.96,54.13
2026-02-13,Friday,2,7,0,Dinner,Chole Kulche,738,980,0,0,0,0,0,0,0,0,641,738.4,5.0
2026-02-14,Saturday,2,7,1,Breakfast,Cornflakes & Milk,575,980,0,0,0,0,0,0,0,0,564,537.7,115.8
2026-02-14,Saturday,2,7,1,Lunch,Veg Khichdi,786,980,0,0,0,0,0,0,0,0,844,1141.33,349.06
2026-02-14,Saturday,2,7,1,Dinner,Dal Khichdi Dinner,610,980,0,0,0,0,0,0,0,0,579,638.36,127.6
2026-02-15,Sunday,2,7,1,Breakfast,Idli Vada Combo,368,980,0,0,0,0,0,0,0,0,333,301.18,7.96
2026-02-15,Sunday,2,7,1,Lunch,Vegetable Biryani,766,980,0,0,0,0,0,0,0,0,795,1020.23,80.62
2026-02-15,Sunday,2,7,1,Dinner,Chicken Biryani / Veg Biryani,795,980,0,0,0,0,0,0,0,0,708,770.99,5.0
2026-02-16,Monday,2,7,0,Breakfast,Vermicelli Upma,652,980,0,0,0,0,0,0,0,0,608,553.94,42.45
2026-02-16,Monday,2,7,0,Lunch,Dal Tadka & Rice,867,980,0,0,0,0,0,0,0,0,896,1257.57,228.58
2026-02-16,Monday,2,7,0,Dinner,Dal Fry & Jeera Rice,861,980,0,0,0,0,0,0,0,0,897,1054.47,219.14
2026-02-17,Tuesday,2,7,0,Breakfast,Poha,642,980,0,0,0,0,0,0,0,0,623,578.9,71.96
2026-02-17,Tuesday,2,7,0,Lunch,Rajma Chawal,966,980,0,0,0,0,0,0,0,0,980,1235.93,77.0
2026-02-17,Tuesday,2,7,0,Dinner,Lauki Ki Bhurji,588,980,0,0,0,0,0,0,0,0,620,723.53,254.07
2026-02-18,Wednesday,2,7,0,Breakfast,Aloo Paratha,851,980,0,0,0,0,0,0,0,0,779,741.49,73.96
2026-02-18,Wednesday,2,7,0,Lunch,Lauki Kofta Curry,744,980,0,0,0,0,0,0,0,0,732,929.95,197.87
2026-02-18,Wednesday,2,7,0,Dinner,Paneer Tikka Masala,980,980,0,0,0,0,0,0,0,0,980,1124.19,123.77
2026-02-19,Thursday,2,8,0,Breakfast,Bread Butter Jam,775,980,1,0,0,0,0,0,0,0,769,733.1,115.85
2026-02-19,Thursday,2,8,0,Lunch,Dal Tadka & Rice,810,980,1,0,0,0,0,0,0,0,859,1116.48,161.92
2026-02-19,Thursday,2,8,0,Dinner,Rajma Masala Dinner,828,980,1,0,0,0,0,0,0,0,861,958.26,117.83
2026-02-20,Friday,2,8,0,Breakfast,Masala Khichdi,749,980,1,0,0,0,0,0,0,0,739,641.15,134.8
2026-02-20,Friday,2,8,0,Lunch,Chole Bhature,980,980,1,0,0,0,0,0,0,0,980,1267.53,55.17
2026-02-20,Friday,2,8,0,Dinner,Chole Kulche,886,980,1,0,0,0,0,0,0,0,916,1047.84,183.52
2026-02-21,Saturday,2,8,1,Breakfast,Masala Khichdi,617,980,1,0,0,0,0,0,0,0,635,550.59,122.29
2026-02-21,Saturday,2,8,1,Lunch,Veg Khichdi,670,980,1,0,0,0,0,0,0,0,768,1103.76,442.96
2026-02-21,Saturday,2,8,1,Dinner,Dal Khichdi Dinner,769,980,1,0,0,0,0,0,0,0,814,947.14,247.98
2026-02-22,Sunday,2,8,1,Breakfast,Idli Vada Combo,540,980,1,0,0,0,0,0,0,0,494,416.05,8.91
2026-02-22,Sunday,2,8,1,Lunch,Vegetable Biryani,947,980,1,0,0,0,0,0,0,0,950,1347.91,214.02
2026-02-22,Sunday,2,8,1,Dinner,Chicken Biryani / Veg Biryani,869,980,1,0,0,0,0,0,0,0,820,962.04,109.77
2026-02-23,Monday,2,8,0,Breakfast,Masala Dosa,777,980,1,0,0,0,0,0,0,0,851,745.36,124.93
2026-02-23,Monday,2,8,0,Lunch,Dal Tadka & Rice,898,980,1,0,0,0,0,0,0,0,963,1297.35,241.26
2026-02-23,Monday,2,8,0,Dinner,Dal Fry & Jeera Rice,909,980,1,0,0,0,0,0,0,0,880,945.65,51.41
2026-02-24,Tuesday,2,8,0,Breakfast,Poha,728,980,1,0,0,0,0,0,0,0,836,764.01,193.08
2026-02-24,Tuesday,2,8,0,Lunch,Rajma Chawal,965,980,1,0,0,0,0,0,0,0,937,1207.89,62.86
2026-02-24,Tuesday,2,8,0,Dinner,Lauki Ki Bhurji,621,980,1,0,0,0,0,0,0,0,776,824.29,282.27
2026-02-25,Wednesday,2,8,0,Breakfast,Aloo Paratha,674,980,1,0,0,0,0,0,0,0,669,629.9,93.78
2026-02-25,Wednesday,2,8,0,Lunch,Lauki Ki Sabji,828,980,1,0,0,0,0,0,0,0,845,1142.88,254.06
2026-02-25,Wednesday,2,8,0,Dinner,Paneer Tikka Masala,946,980,1,0,0,0,0,0,0,0,976,1170.05,236.96
2026-02-26,Thursday,2,9,0,Breakfast,Bread Butter Jam,740,980,1,1,0,0,0,0,0,0,771,719.44,159.01
2026-02-26,Thursday,2,9,0,Lunch,Kadhai Paneer & Roti,967,980,1,1,0,0,0,0,0,0,837,1065.04,18.79
2026-02-26,Thursday,2,9,0,Dinner,Veg Pulao & Raita,908,980,1,1,0,0,0,0,0,0,952,1013.2,106.95
2026-02-27,Friday,2,9,0,Breakfast,Masala Khichdi,601,980,1,1,0,0,0,0,0,0,687,609.78,220.08
2026-02-27,Friday,2,9,0,Lunch,Chole Bhature,980,980,1,1,0,0,0,0,0,0,947,1269.72,67.73
2026-02-27,Friday,2,9,0,Dinner,Chole Kulche,929,980,1,1,0,0,0,0,0,0,892,987.36,32.19
2026-02-28,Saturday,2,9,1,Breakfast,Cornflakes & Milk,752,980,1,1,0,0,0,0,0,0,842,794.6,223.84
2026-02-28,Saturday,2,9,1,Lunch,Mix Veg & Paratha,812,980,1,1,0,0,0,0,0,0,848,1074.49,115.61
2026-02-28,Saturday,2,9,1,Dinner,Rajma Masala Dinner,846,980,1,1,0,0,0,0,0,0,885,982.0,115.26
2026-03-01,Sunday,3,9,1,Breakfast,Idli Vada Combo,561,980,1,1,0,0,0,0,0,0,564,484.75,47.93
2026-03-01,Sunday,3,9,1,Lunch,Vegetable Biryani,872,980,1,1,0,0,0,0,0,0,811,1164.72,115.57
2026-03-01,Sunday,3,9,1,Dinner,Chicken Biryani / Veg Biryani,852,980,1,1,0,0,0,0,0,0,883,1036.66,172.66
2026-03-02,Monday,3,9,0,Breakfast,Masala Dosa,697,980,1,1,0,0,0,0,0,0,744,702.32,128.68
2026-03-02,Monday,3,9,0,Lunch,Dal Tadka & Rice,831,980,1,1,0,0,0,0,0,0,892,1272.55,297.29
2026-03-02,Monday,3,9,0,Dinner,Dal Fry & Jeera Rice,925,980,1,1,0,0,0,0,0,0,963,1136.66,211.97
2026-03-03,Tuesday,3,9,0,Breakfast,Poha,764,980,1,1,0,0,0,0,0,0,823,728.89,152.97
2026-03-03,Tuesday,3,9,0,Lunch,Rajma Chawal,949,980,1,1,0,0,0,0,0,0,980,1237.39,84.67
2026-03-03,Tuesday,3,9,0,Dinner,Lauki Ki Bhurji,683,980,1,1,0,0,0,0,0,0,714,840.43,213.02
2026-03-04,Wednesday,3,9,0,Breakfast,Idli Vada Combo,797,980,1,1,0,0,0,0,0,0,919,839.0,197.96
2026-03-04,Wednesday,3,9,0,Lunch,Lauki Ki Sabji,676,980,1,1,0,0,0,0,0,0,714,930.93,184.02
2026-03-04,Wednesday,3,9,0,Dinner,Baingan Bharta & Roti,824,980,1,1,0,0,0,0,0,0,776,844.69,25.8
2026-03-05,Thursday,3,10,0,Breakfast,Bread Butter Jam,697,980,1,1,0,0,0,0,0,0,773,674.61,139.74
2026-03-05,Thursday,3,10,0,Lunch,Kadhai Paneer & Roti,960,980,1,1,0,0,0,0,0,0,912,1178.9,8.99
2026-03-05,Thursday,3,10,0,Dinner,Rajma Masala Dinner,883,980,1,1,0,0,0,0,0,0,882,1032.73,145.96
2026-03-06,Friday,3,10,0,Breakfast,Masala Khichdi,814,980,1,1,0,0,0,0,0,1,833,788.11,239.73
2026-03-06,Friday,3,10,0,Lunch,Chole Bhature,980,980,1,1,0,0,0,0,0,1,966,1258.35,58.97
2026-03-06,Friday,3,10,0,Dinner,Chole Kulche,980,980,1,1,0,0,0,0,0,1,939,999.41,37.23
2026-03-07,Saturday,3,10,1,Breakfast,Cornflakes & Milk,752,980,1,1,0,0,0,0,0,0,743,626.23,38.33
2026-03-07,Saturday,3,10,1,Lunch,Veg Khichdi,763,980,1,1,0,0,0,0,0,0,776,1032.36,217.81
2026-03-07,Saturday,3,10,1,Dinner,Lauki Ki Bhurji,635,980,1,1,0,0,0,0,0,0,719,829.63,236.4
2026-03-08,Sunday,3,10,1,Breakfast,Paneer Paratha,605,980,1,1,0,0,0,0,0,0,569,502.2,23.93
2026-03-08,Sunday,3,10,1,Lunch,Vegetable Biryani,871,980,1,1,0,0,0,0,0,0,923,1271.12,214.15
2026-03-08,Sunday,3,10,1,Dinner,Chicken Biryani / Veg Biryani,905,980,1,1,0,0,0,0,0,0,980,1136.41,226.32
2026-03-09,Monday,3,10,0,Breakfast,Masala Dosa,820,980,1,1,0,0,0,0,0,0,828,705.13,35.22
2026-03-09,Monday,3,10,0,Lunch,Dal Tadka & Rice,895,980,1,1,0,0,0,0,0,0,925,1319.88,255.54
2026-03-09,Monday,3,10,0,Dinner,Dal Fry & Jeera Rice,922,980,1,1,0,0,0,0,0,0,926,1089.26,190.06
2026-03-10,Tuesday,3,10,0,Breakfast,Poha,665,980,1,1,0,0,0,0,0,0,683,641.42,131.5
2026-03-10,Tuesday,3,10,0,Lunch,Kadhai Paneer & Roti,980,980,1,1,0,0,0,0,0,0,922,1219.2,28.77
2026-03-10,Tuesday,3,10,0,Dinner,Lauki Ki Bhurji,772,980,1,1,0,0,0,0,0,0,767,905.83,255.79
2026-03-11,Wednesday,3,10,0,Breakfast,Aloo Paratha,834,980,1,1,0,0,0,0,0,0,878,803.68,106.05
2026-03-11,Wednesday,3,10,0,Lunch,Lauki Ki Sabji,789,980,1,1,0,0,0,0,0,0,766,1078.05,264.86
2026-03-11,Wednesday,3,10,0,Dinner,Paneer Tikka Masala,972,980,1,1,0,0,0,0,0,0,980,1049.46,32.83
2026-03-12,Thursday,3,11,0,Breakfast,Bread Butter Jam,785,980,0,0,0,0,0,0,0,0,835,713.6,110.11
2026-03-12,Thursday,3,11,0,Lunch,Kadhai Paneer & Roti,803,980,0,0,0,0,0,0,0,0,782,1068.97,78.27
2026-03-12,Thursday,3,11,0,Dinner,Rajma Masala Dinner,811,980,0,0,0,0,0,0,0,0,799,882.67,57.69
